,sum
bf,75
gk,46
telomeres,40
abed,39
mzuri,36
jf,36
indus,33
fonio,32
teszler,30
tkm,30
ems,29
connectome,29
bombsight,28
edi,27
fb,26
isirika,26
quad,25
nl,24
lesters,22
bonica,21
raisuddin,21
nanopatch,21
atrazine,21
whitopia,21
ravi,21
rng,20
kuliko,20
jana,20
sweeney,20
marimba,20
lesterland,20
romo,19
rsw,19
musu,19
mammogram,18
bertie,18
phthalates,18
foxo,18
gwen,18
galois,18
kt,18
iw,17
antiangiogenic,17
superconductor,17
molas,16
kanner,16
heforshe,16
agf,16
freespeech,16
solly,16
replicator,16
sudhir,16
weibo,15
elam,15
progeria,15
paralegals,15
zk,15
daf,15
mouaz,15
pigmentation,15
galvao,14
bina,14
broadmoor,14
naghma,14
gphin,14
calais,14
len,14
e8,14
strum,14
cymatics,14
404,14
thula,13
tembererana,13
catadores,13
mbi,13
ea,13
mathematica,13
beheading,13
dragline,13
incra,13
kkm,13
browne,13
jenipher,13
brigades,13
tbp,13
shadi,12
stroman,12
cyril,12
dreadnoughtus,12
bonnet,12
alhambra,12
hololens,12
samaritans,12
coumarin,12
gratefulness,12
norse,12
todai,12
rockett,12
astrolabe,12
skycar,12
kathy,12
micrornas,11
vivian,11
ageism,11
breton,11
zoe,11
littlebits,11
faiza,11
tori,11
farai,11
mildness,11
alec,11
robicsek,11
rezero,11
encoder,11
yum,10
jarrett,10
mz,10
minto,10
martine,10
kaluza,10
pleurobot,10
ec,10
ls,10
yv,10
connectomes,10
jenesis,10
juliano,10
okapi,10
nonverbals,10
cargill,10
prego,10
gowanus,10
manson,10
sys,10
marduk,10
justinesacco,10
milkweed,9
hyacinth,9
hurdy,9
tariq,9
humanae,9
misfit,9
uncontacted,9
fluctus,9
kleiber,9
dravidian,9
afrika,9
olé,9
clonie,9
gurdy,9
pxe,9
bfib,9
arrowheads,9
cruzeiro,9
jirga,9
itjtawy,9
spinosaurus,9
dirigible,9
davinia,9
futureless,9
jy,9
aveling,9
telomere,9
vila,9
hirshhorn,9
brunel,9
muti,9
queerer,9
bjk,9
pauling,9
navid,9
hany,9
nk,9
ue,9
ironman,9
ethnosphere,8
chaz,8
osmakac,8
malala,8
manya,8
rejuvenation,8
tapeworm,8
hyperscore,8
ifakara,8
karajan,8
trudeau,8
wingsuit,8
ifafricawasabar,8
microrna,8
kenema,8
midden,8
umar,8
hysteria,8
stoicism,8
udo,8
coffeehouse,8
quixote,8
gezi,8
remittance,8
khamisa,8
interagency,8
thordis,8
shreddies,8
desiccation,8
crony,8
bossy,8
greenville,8
siftables,8
altos,8
decompiculture,8
denny,8
gmt,8
mockingbird,8
kush,8
baakir,8
wangu,8
sousa,8
zeinab,8
sargassum,8
lorna,8
kiteflyer,8
cura,8
http,8
csf,8
detroiters,8
fildes,7
toxo,7
heinz,7
molly,7
hells,7
jordans,7
bia,7
prospera,7
beijerinck,7
carroças,7
olu,7
habeus,7
jg,7
imagenet,7
seatbelt,7
sughar,7
hemlock,7
femto,7
brianna,7
plutocracy,7
dansi,7
bernoulli,7
ld,7
tewksbury,7
temes,7
atkins,7
bloop,7
neocortical,7
volantor,7
mumble,7
vg,7
vertices,7
maggie,7
manju,7
barbaria,7
tmd,7
ragù,7
piero,7
kidogo,7
airstream,7
tzvika,7
lentils,7
nonhuman,7
rhinoviruses,7
mídia,7
piazza,7
parainfluenza,7
adrianne,7
piga,7
paroxetine,7
bassam,7
africanism,7
cheetos,7
ecx,7
judd,7
otaku,7
ecosia,7
huli,7
sacco,7
papercutting,7
fischeri,7
luria,7
hyperloop,7
noam,7
milly,7
upwake,6
transporter,6
mansa,6
oshea,6
hatzalah,6
headrest,6
ligament,6
pjc,6
biofabrication,6
jó,6
moog,6
entrainment,6
gacaca,6
ricans,6
osun,6
aromatase,6
siftable,6
protonmail,6
leahy,6
abalone,6
protocell,6
usain,6
ansar,6
chern,6
napot,6
guga,6
gerontology,6
dodecahedron,6
ia,6
schlaug,6
goering,6
lonesome,6
warby,6
spectrogram,6
milgram,6
postsecret,6
convulsion,6
kooks,6
hyowon,6
cot,6
lymphatic,6
hydrostatic,6
milliken,6
naser,6
pravastatin,6
colour,6
bayesian,6
aicha,6
hwt,6
lsst,6
barricelli,6
kettles,6
allosphere,6
netra,6
igf,6
netizens,6
wofford,6
astrolabes,6
subtypes,6
athenian,6
ananipenda,6
elissa,6
rossy,6
subclinical,6
clathrin,6
vivor,6
electrogram,6
beheadings,6
bartok,6
snobbery,6
griselda,6
crisper,6
procrastinate,6
herodotus,6
wilkins,6
necrophilia,6
avelile,6
musa,6
mockingbirds,6
manshiyat,6
hasbro,6
tomm,6
melquiades,6
4shbab,6
nyota,6
meegeren,6
tamara,6
bla,6
fn,6
cannibals,6
tidied,6
toonchi,6
zullinger,6
brightmoor,6
tmm,6
blablacar,6
boca,6
xml,6
cavefishes,6
omer,6
terawatt,6
faunal,6
bujold,6
rete,6
introversion,6
technocratic,6
torajans,6
tembere,6
erick,6
quartile,6
tassa,6
ferrofluid,6
extrasolar,6
foreplay,6
ffl,6
centella,6
cala,6
matty,6
bertha,5
spacewalk,5
neowise,5
hedy,5
4chan,5
onicha,5
cantor,5
safemart,5
kp,5
taniyama,5
eggplant,5
cloudburst,5
ml,5
wishbone,5
jobana,5
carroça,5
wewe,5
nikolayevich,5
bhutanese,5
bhumika,5
kéré,5
avaz,5
hexene,5
eulogy,5
roma,5
kurdistan,5
dharamsala,5
karstic,5
lassa,5
rabin,5
umm,5
dispatcher,5
oncogene,5
garífuna,5
poupon,5
permian,5
maidan,5
athleticism,5
iliac,5
cao,5
natanz,5
taji,5
jenn,5
ome,5
heparin,5
yb,5
evel,5
dongguan,5
lamanites,5
felice,5
kenobi,5
tendai,5
obsessional,5
ebert,5
evolvable,5
selasi,5
ack,5
patreon,5
patrollers,5
volta,5
gelem,5
amjad,5
belshazzar,5
kufungisisa,5
gbm,5
allegiances,5
turkana,5
scytodes,5
breadwinning,5
taft,5
teresia,5
myesha,5
microfluidic,5
nemo,5
itay,5
nematode,5
sub1,5
helios,5
mildred,5
anagrams,5
ommm,5
yarn,5
teme,5
electrolyte,5
tepuis,5
lactation,5
vivre,5
rotterdam,5
whewell,5
helpline,5
yako,5
mauch,5
umwelt,5
miko,5
jovita,5
demobilized,5
shoutin,5
lexicographical,5
lexicography,5
blackawton,5
manvendra,5
goran,5
nakutegemea,5
kludge,5
panpsychist,5
jeanny,5
jyk,5
leymah,5
journeyman,5
mapendo,5
deconstructive,5
chemokines,5
moskowitz,5
fishbowl,5
legadema,5
gujarati,5
vashem,5
superhydrophobic,5
sunfish,5
bednets,5
cesar,5
uberpool,5
sura,5
susana,5
reuther,5
mansfield,5
frigoris,5
reinnervation,5
centenarians,5
huaorani,5
irreverence,5
rhinovirus,5
theremin,5
siena,5
braddock,5
bannister,5
girltrek,5
novocure,5
683,5
supernormal,5
osorio,5
weblogs,5
sintia,5
haring,5
locomotor,5
tetrahymena,5
springy,5
ines,5
tritium,5
leandro,5
suki,5
communitas,5
galvani,5
icefall,5
rca,5
connexions,5
kédougou,5
joie,5
nightingale,5
yad,5
ji,5
sodis,5
locality,5
annuals,5
euclidean,5
kona,5
rawls,5
musica,5
duplex,5
dereck,5
sitopia,5
repayment,5
talgam,5
